Lead,ลูกค้ามุ่งหวัง
Leads,ลูกค้ามุ่งหวัง
Customer,ลูกค้า
Customers,ลูกค้า
Contact,ผู้ติดต่อ
Opportunity,โอกาสการขาย
Opportunities,โอกาสการขาย
Quotation,ใบเสนอราคา
Sales Order,ใบสั่งขาย
Sales Invoice,ใบแจ้งหนี้ / ใบกำกับภาษี
Payment Entry,รายการรับชำระเงิน
Issue,เรื่องร้องเรียน / งานบริการ
Email Campaign,แคมเปญอีเมล
Newsletter,จดหมายข่าว
Draft,ฉบับร่าง
Pending Approval,รออนุมัติ
Approved,อนุมัติแล้ว
Rejected,ไม่อนุมัติ
Submit for Approval,ส่งขออนุมัติ
Approve,อนุมัติ
Reject,ไม่อนุมัติ
Sales Stage,ขั้นตอนการขาย
Sales Person,พนักงานขาย
Valid Till,ยืนราคาถึง
Grand Total,ยอดรวมสุทธิ
Customer Group,กลุ่มลูกค้า
Territory,เขตการขาย
งานขาย,งานขาย
